ASIN,Billing Address,Carrier Name & Tracking Number,Currency,Gift Message,Gift Recipient Contact,Gift Sender Name,Item Serial Number,Order Date,Order ID,Order Status,Original Quantity,Payment Method Type,Product Condition,Product Name,Purchase Order Number,Ship Date,Shipment Item Subtotal,Shipment Item Subtotal Tax,Shipment Status,Shipping Address,Shipping Charge,Shipping Option,Total Amount,Total Discounts,Unit Price,Unit Price Tax,Website
B0C0434567,REDACTED,REDACTED,USD,,,,,2024-01-24,111-0000010-0000010,Closed,1,Visa - 8901,New,Test Gadget,,2024-01-25,71.49,5.00,Shipped,REDACTED,1.20,Standard Shipping,11.90,0.00,10.00,0.70,Amazon.com
B0C0534567,REDACTED,REDACTED,USD,,,,,2024-01-24,111-0000010-0000010,Closed,1,Visa - 8901,New,Test Item,,2024-01-25,71.49,5.00,Shipped,REDACTED,1.20,Standard Shipping,10.82,0.00,8.99,0.63,Amazon.com
B0C0634567,REDACTED,REDACTED,USD,,,,,2024-01-24,111-0000010-0000010,Closed,1,Visa - 8901,New,Test Tool,,2024-01-25,71.49,5.00,Shipped,REDACTED,1.19,Standard Shipping,14.56,0.00,12.50,0.88,Amazon.com
B0C1134567,REDACTED,REDACTED,USD,,,,,2024-01-25,111-0000011-0000011,Closed,1,Visa - 9012,New,Test Product,,2024-01-26,45.99,3.22,Shipped,REDACTED,5.50,Standard Shipping,54.71,0.00,45.99,3.22,Amazon.com
B0C1234568,REDACTED,REDACTED,USD,,,,,2024-01-26,111-0000012-0000012,Closed,1,Visa - 0123,New,Test Widget,,2024-01-27,32.50,2.28,Shipped and Shipped,REDACTED,0.00,Standard Shipping,34.78,0.00,32.50,2.28,Amazon.com
B0C1334568,REDACTED,REDACTED,USD,,,,,2024-01-27,111-0000013-0000013,Cancelled,1,Visa - 1234,New,Test Product,,2024-01-28,20.00,1.40,Shipped,REDACTED,0.00,Standard Shipping,21.40,0.00,20.00,1.40,Amazon.com
B0C1434568,REDACTED,REDACTED,USD,,,,,2024-01-28,111-0000014-0000014,Closed,1,Visa - 2345,New,Test Item,,2024-01-29,18.99,1.33,Shipped,REDACTED,2.50,Standard Shipping,22.82,0.00,18.99,1.33,Amazon.com
B0C1534568,REDACTED,REDACTED,USD,,,,,2024-01-29,111-0000015-0000015,Closed,1,Visa - 3456,New,Test Gadget,,2024-01-30,55.00,3.85,Shipped,REDACTED,0.00,Standard Shipping,53.85,-5.00,55.00,3.85,Amazon.com
B0C1634568,REDACTED,REDACTED,USD,,,,,2024-01-30,111-0000016-0000016,Closed,1,Visa - 4567,New,Test Widget,,2024-01-31,64.99,4.55,Shipped,REDACTED,0.00,Standard Shipping,23.54,0.00,22.00,1.54,Amazon.com
B0C1734568,REDACTED,REDACTED,USD,,,,,2024-01-30,111-0000016-0000016,Closed,1,Visa - 4567,New,Test Tool,,2024-01-31,64.99,4.55,Shipped,REDACTED,0.00,Standard Shipping,23.53,0.00,21.99,1.54,Amazon.com
B0C1834568,REDACTED,REDACTED,USD,,,,,2024-01-30,111-0000016-0000016,Closed,1,Visa - 4567,New,Test Gadget,,2024-01-31,64.99,4.55,Shipped,REDACTED,0.00,Standard Shipping,22.47,0.00,21.00,1.47,Amazon.com
B0C1934568,REDACTED,REDACTED,USD,,,,,2024-01-31,111-0000017-0000017,Closed,1,Visa - 5678,New,Test Product,,2024-02-01,99.99,7.00,Shipped,REDACTED,10.00,Standard Shipping,116.99,0.00,99.99,7.00,Amazon.com
B0C2034568,REDACTED,REDACTED,USD,,,,,2024-02-01,111-0000018-0000018,Closed,1,Visa - 6789,New,Test Item,,2024-02-02,16.99,1.19,Not Available,REDACTED,0.00,Standard Shipping,18.18,0.00,16.99,1.19,Amazon.com
B0C2134568,REDACTED,REDACTED,USD,,,,,2024-02-02,111-0000019-0000019,Closed,1,Visa - 7890,New,Test Widget,,2024-02-03,35.50,2.49,Shipped,REDACTED,3.00,Standard Shipping,40.99,0.00,35.50,2.49,Amazon.com
B0C2234568,REDACTED,REDACTED,USD,,,,,2024-02-03,111-0000020-0000020,Closed,1,Visa - 8901,New,Test withembedded newline,,2024-02-04,11.99,0.84,Shipped,REDACTED,0.00,Standard Shipping,12.83,0.00,11.99,0.84,Amazon.com
B0C2334568,REDACTED,REDACTED,EUR,,,,,2024-02-04,111-0000021-0000021,Closed,1,EUR - 9012,New,Test EUR Product,,2024-02-05,25.00,1.75,Shipped,REDACTED,0.00,Standard Shipping,26.75,0.00,25.00,1.75,Amazon.com
B0C2434568,REDACTED,REDACTED,USD,,,,,2024-02-05,111-0000022-0000022,Closed,1,Visa - 0234,New,Test Discounted,,2024-02-06,28.99,2.03,Shipped,REDACTED,2.00,Standard Shipping,32.57,-0.45,28.99,2.03,Amazon.com
B0CTEST001,REDACTED,REDACTED,USD,,,,,2024-02-07,111-0000023-0000023,Closed,1,Visa - 3456,New,Test Item A,,2024-02-07,40.00,2.80,Shipped,REDACTED,0.00,Standard Shipping,19.40,0.00,18.00,1.40,Amazon.com
B0CTEST002,REDACTED,REDACTED,USD,,,,,2024-02-07,111-0000023-0000023,Closed,1,Visa - 3456,New,Test Item B,,2024-02-07,40.00,2.80,Shipped,REDACTED,0.00,Standard Shipping,23.40,0.00,22.00,1.40,Amazon.com
